method,trajectory,optimizer_update,training_step,trajectory_microsteps,chunk_size_tokens,response_tokens,distillation_loss,teacher_student_reverse_kl,student_token_nll,episode_seconds,projection_alpha,projected_target_kl,kl_budget,query_id
TRSD 64,42,42,2463,65,128,8289,0.00437196849634347,0.004371968404830243,0.11372384945637844,278.59734847501386,0.703125,0.0039121322482685,0.004,deepmath:005ff290fdf393d59a5b8d4290edb9fc45fd31cbc060c53fe670a49e1a707207
TRSD 64,43,43,2537,74,128,9382,0.004388598283185274,0.004388598241769627,0.10461850248656784,314.88288111495785,0.6875,0.003956494188109705,0.004,deepmath:006019d0d8727759a668b590d4d18310ef26f000198fc45615c8344f1836bc4c
TRSD 64,44,44,2569,32,128,3984,0.004559592198532414,0.004559592303133151,0.08168770941385782,134.89330875198357,0.578125,0.003859795507002808,0.004,deepmath:0062d8df17cfc213a76d55cf9f0fcc49bf35eb2f8d4e3ef22a079fc8050263b5
TRSD 64,45,45,2586,17,128,2082,0.004238841644109925,0.004238841734919608,0.12635105510495467,71.51768777496181,0.40625,0.0038621597221044253,0.004,deepmath:006a6296970c739aec0280d9a66a4cea45836909b1d98923d278f9d94eb62692
TRSD 64,46,46,2665,79,128,10075,0.00416088795327596,0.0041608880940944915,0.11890367190831944,334.3038071990013,0.5,0.0037937408497108714,0.004,deepmath:006aa68dbaf5b654ad3071979c89dfa8a1b353843094321f7bbcd771349e6303
TRSD 64,47,47,2692,27,128,3390,0.004437612004039693,0.00443761202350127,0.15710347212169726,116.11855187197216,0.34375,0.00371832793666418,0.004,deepmath:006c20fbdd524d08de9e89f371a1028b99a786d0f46aa240fbc25f4ffb877deb
TRSD 64,48,48,2743,51,128,6491,0.004282943039015663,0.004282943007081834,0.08955085576912082,219.49261386098806,0.625,0.003954076811647152,0.004,deepmath:006dc7e74a6c3850528e77c89f42357031e793700d0f5f4758cdbb3cc38bfce7
TRSD 64,49,49,2791,48,128,6019,0.004148531234729011,0.004148531234708163,0.09656939591298291,203.2868183470564,0.515625,0.003826226666872866,0.004,deepmath:006ee740e3abf3acfb855487b476f329ba01c7f442dcea89e1b62c1a84b2f82b
TRSD 64,50,50,2829,38,128,4770,0.004335765825089766,0.004335765815896433,0.17147636173656153,161.83269758499227,0.5,0.003922869261174582,0.004,deepmath:0072530d36b2fe8963e61adb9abcf872fe99ac784e35ebdb7d493a9c9ddc8c73
TRSD 64,51,51,2908,79,128,10073,0.004506245092215977,0.004506245077212565,0.11314684791076411,339.09323952393606,0.59375,0.003911907441161848,0.004,deepmath:0072a410ec2ad19dff87ce7c3854f83df91a11de998171c990d6ca603379c276
